tagname,body
"rollover",""
"assign","Something related to an assignment operation, i.e. the process of changing the content of a variable to reflect some given value."
"slim","Slim for PHP is a RESTful micro framework for PHP 5 inspired by Sinatra."
"perspective","In Eclipse, a perspective defines the initial set and layout of views in the Workbench window. In CSS, perspective is a property and concept used in 3D transforms."
"curve","In mathematics, a curve (also called a curved line in older texts) is, generally speaking, an object similar to a line but which is not required to be straight."
"ruby-2.0","For issues relating to development in Ruby, version 2.0. If your question applies to Ruby in general, use the tag [ruby]."
"afnetworking-2","AFNetworking 2.0 is a networking library for iOS 6+ and Mac OS X 10.8+."
"buttonclick","An event that occurs when a user clicks a button element located within a user interface"
"firebreath","FireBreath is a C++ framework for creating web browser plugins (not extensions!) that work on Windows, Mac, and Linux and target all major browsers (including IE and Firefox). http://www.firebreath.org"
"cmd.exe","Command Prompt (executable name cmd.exe) is the Microsoft-supplied command-line interpreter on OS/2, Windows CE and on Windows NT-based operating systems (including Windows 2000, XP, Vista, 7, Server 2003 and Server 2008). It is the analog of COMMAND.COM in MS-DOS and Windows 9x (where it is called MS-DOS Prompt) systems, or of the Unix shells used on Unix-like systems."
"labview","LabVIEW is an environment created by National Instruments to complement their instrument offering.  The programming language is called G, but often referred to as just LabVIEW.  The programing language is a data-flow, graphical, type-safe, garbage-collected language with hooks to call into native C, .NET, COM, etc."
"upnp","Universal Plug and Play (UPnP) is a set of networking protocols that permits networked devices to seamlessly discover each other's presence on the network and establish functional network services for data sharing, communications, and entertainment."
"cobertura","Cobertura is a free and open-source Java tool based on jcoverage that calculates the percentage of code and branches covered by tests."
"local-variables","Local variables have a limited scope, generally one function or one functional block."
"tcpdump","tcpdump is a common packet analyzer that runs under the command line"
"android-file","Specifically the Android `File` class, but may also refer to the generic concept of files under the Android operating system"
"mapi","Messaging Application Programming Interface (MAPI) is a messaging architecture and a Component Object Model based API for Microsoft Windows. MAPI allows client programs to become (e-mail) messaging-enabled, -aware, or -based by calling MAPI subsystem routines that interface with certain messaging servers."
"adobe-illustrator","Adobe Illustrator is a commercial vector graphics editor."
"shapefile","The Esri shapefile or simply a shapefile is a popular geospatial vector data format for geographic information systems (GIS) software. "
"debug-symbols","A debug symbol is information that expresses which programming-language constructs generated a specific piece of machine code in a given executable module. 
"
"receive",""
"payment-processing","A process and service that automates payment transactions between the shopper and merchant. Classically refers to credit card transactions, but nowadays the term describes also internet payment methods like Paypal."
"il","IL (Intermediate Language) is low level language used by Microsoft .NET Framework and Mono."
"maintenance",""
".net-1.1","The 1.1 version of the .NET Framework."
"linkbutton","An ASP.Net webcontrol that renders as a link but has a button event model made available to the programmer."
"jdk1.6","For issues relating to setting up or using the Java Development Kit (JDK), version 1.6."
"fmdb","FMDB is a free, third-party Objective-C wrapper for SQLite, providing a simple, object-oriented interface for Mac OS X and iOS."
"creation",""
"skinning","In computing, a skin is a custom graphical appearance preset package achieved by the use of a graphical user interface (GUI) that can be applied to specific computer software, operating system, and websites to suit the purpose, topic, or tastes of different users. The process of writing or applying such a skin is known as skinning."
"discrete-mathematics","Discrete mathematics is the branch of mathematics concerned with discrete phenomena -- as opposed to continuous phenomena like geometry, real analysis, physics, etc.  Typical discrete math topics are discrete probability, combinatorics, graph theory, algorithms and complexity, but also matrices, difference equations, recurrences.   Applications abound in computer science, as many computer models are built upon discrete elements."
"adfs2.0","Active Directory Federation Services 2.0"
"ios-4.2","For issues relating to using iOS, version 4.2."
"uitapgesturerecognizer","UITapGestureRecognizer is a concrete subclass of UIGestureRecognizer that looks for single or multiple taps."
"forward","Forwards a request from a servlet to another resource (servlet, JSP file, or HTML file) on the server."
"words",""
"facebook-fanpage",""
"pixelsense","Microsoft PixelSense is a large-touchscreen computer platform released by Microsoft in 2008. Applications for PixelSense are developed in .NET using either WPF or XNA for the graphical interfaces."
"contactscontract","The new Contacts API is defined in the android.provider.ContactsContract and related classes. The older API is still supported, although deprecated."
"terminate",""
"addsubview",""
"angularjs-service","AngularJS services are singletons that carry out specific tasks common to web apps. AngularJS provides a range of built-in services, along with the ability to create custom services as required. Services are also used for communication between application components through dependency injection (DI)."
"spider","Synonym for web-crawler tag. Somebody please synonym it (I lack the rep in web-crawler tag)"
"google-contacts","Google Contacts API allows client applications to view and update a user's contacts."
"flat-file","A flat-file database model is any system using a single file for storage with one record per line, usually plain-text or text mixed with binary data."
"strongly-typed-dataset","In the Microsoft .NET framework, strongly typed DataSets are classes that inherit from a DataSet, giving them a strongly typed nature based on an XSD structure you specify."
"openmpi","Open MPI is an open source implementation of the MPI-2 Message Passing Interface, a library for distributed memory parallel programming."
"crc","A cyclic redundancy check (CRC) is an error-detecting code commonly used in digital networks and storage devices to detect accidental changes to raw data."
"owin","Open Web Interface for .NET"
"xforms","XML specification for web forms."
"trie","A tree-like data structure used to hold an associative array, also called a Prefix Tree."
"uifont","The UIFont class provides the interface for getting and setting font information. Available in iOS 2.0 and later."
"haproxy","HAproxy is a TCP/HTTP load balancer which provides cookie-based persistence, advanced traffic regulation with surge protection, automatic failover, run-time regex-based header control, Web-based reporting, advanced logging to help trouble-shooting buggy applications and/or networks, and a few other features. "
"tidesdk","TideSDK is an open source software development kit for creating multi-platform desktop apps using HTML5, CSS3, JavaScript and other common scripting languages."
"winsock2","Windows Sockets 2 (Winsock) enables programmers to create advanced Internet, intranet, and other network-capable applications to transmit application data across the wire, independent of the network protocol being used"
"prototypal-inheritance","Prototypical-based inheritance reuses behavior by cloning existing objects that serves as prototypes. JavaScript is a very good example of prototypical-based inheritance in practice."
"bitmapdata",""
"jcrop","Jcrop is the quick and easy way to add image cropping functionality to your web application. It combines the ease-of-use of a typical jQuery plugin with a powerful cross-platform DHTML cropping engine that is faithful to familiar desktop graphics applications."
"user-permissions",""
"wix3.6","For issues relating to deployment using Windows Installer XML, version 3.6."
"managed-c++","Managed C++ is a now deprecated Microsoft set of deviations from C++, including grammatical and syntactic extensions, keywords and attributes, to bring the C++ syntax and language to the .NET Framework. These extensions allowed C++ code to be targeted to the Common Language Runtime (CLR) in the form of managed code as well as continue to interoperate with native code."
"fusioncharts","FusionCharts Suite XT is a JavaScript (HTML5) Charting library for web and mobile applications. It works on a majority of devices including PCs, Macs, iPads, iPhones and Android devices, and on all browsers including IE6. It offers 90+ chart types including Column, Bar, Line and Pie charts to the more advanced chart types like Funnel, Combination, Bubble and Zoom Line Charts. "
"nancy","Nancy is a lightweight web framework for the .Net platform, inspired by Sinatra. Nancy aims to deliver a low ceremony approach to building light, fast web applications."
"selectonemenu","JSF tag to create a single-select menu."
"pyrocms","PyroCMS is a lightweight, themeable open-source CMS built on top of the PHP framework CodeIgniter, praised for its simplicity."
"activemodel","The ActiveModel Rails3+ library."
"slideup",""
"visualsvn-server","VisualSVN Server is a commercial and proprietary Subversion server package for Windows only."
"pharo","Pharo is an open-source Smalltalk environment. It is a derivative of Squeak and is MIT licensed with some original Apple parts remaining under the Apache 2.0 license."
"robotics","Robotics is the branch of technology that deals with the design, construction, operation, structural disposition, manufacture and application of robots. Robotics is related to the sciences of electronics, engineering, mechanics, and software.  You may also consider asking your question on [*robotics* stack exchange](http://robotics.stackexchange.com/)."
"soundpool","Android API : The SoundPool class manages and plays audio resources for applications"
"esri","ESRI (Environmental Systems Research Institute) is a GIS (geographical information systems) development company. ESRI produces GIS software"
"mule-studio","Mule Studio is a graphical design environment for the MuleSoft platform."
"picasa","With Picasa and Picasa Webalbums from Google a user can manage digital photo's offline (Picasa) and online (Picasa Webalbums). "
"yii-db","Yii is a high-performance, component-based, open source PHP framework best for developing Web 2.0 applications. This tag contains all the database-related questions."
"modularity","Modularity describes the degree to which a system’s components may be separated and recombined.   It refers to both the tightness of coupling between components, and the degree to which the “rules” of the system architecture enable (or prohibit) the mixing and matching of components."
"nsbundle","Bundles are a fundamental technology in Mac OS X and iOS that are used to encapsulate code and resources. "
"glfw","GLFW is a free, Open Source, multi-platform library for opening a window, creating an OpenGL context and managing input. It is easy to integrate into existing applications and does not lay claim to the main loop.

GLFW is written in C and has native support for Windows, Mac OS X and many Unix-like systems using the X Window System, such as Linux and FreeBSD.

GLFW is licensed under the zlib/libpng license."
"public-key","Public-key cryptography or asymmetric cryptography is a form of cryptograph that does not require common secrets between the communicating partners."
"flex4.6","Flex 4.6 is for issues in version 4.6 of the Flex SDK.  Flex SDK is an open source framework for building and maintaining mobile applications and also web applications that deploy consistently on all major browsers, desktops and operating systems."
"color-picker","A color picker is a widget used to preview and test color values."
"clickable","The tag refers to a graphics user interface item, which can be clicked using the mouse or tapped (in case of touchscreen application)."
"clojurescript","ClojureScript is a dialect of Clojure that compiles to JavaScript."
"lambda-functions","In programming language theory, a lambda function is a function defined, and possibly called, without being bound to an identifier. "
"adfs","Active Directory Federation Services v2.0 (ADFS for short) is a standards based Web Single Sign-On federated identity which implements claims based authentication across forests."
"smlnj","Standard ML of New Jersey (SML/NJ)"
"treenode",""
"readability","Readability is a subjective parameter used to measure an aspect of code quality. It is based on the assumption that code should be easily comprehensible by humans, both in its form and in its meaning. "
"relationships",""
"gyroscope","A gyroscope is a device for measuring or maintaining orientation, based on the principles of angular momentum. Modern high-end Mobile devices have been supplying this device.Thus, many uses are found in Android API and iOS API. "
"quaternion","Unit quaternions are a mathematical representation of 3D rotations. They have 4 dimensions (one real and 3 imaginary) and can be represented as follows:
a + i b + j c + k d

or in terms of axis-angles:
q = cos(a/2) + i ( x * sin(a/2)) + j (y * sin(a/2)) + k ( z * sin(a/2))

where:
-  a=angle of rotation.
-  x,y,z = vector representing axis of rotation.
"
"vbulletin","vBulletin (vB) is a commercial Internet forum software produced by Jelsoft Enterprises and vBulletin Solutions, both subsidiaries of Internet Brands. It is written in PHP and uses a MySQL database server.
"
"fuse","Fuse stands for Filesystem in Userspace. It can be used to create filesystem backends without writing all the code as a kernel module."
"dreamhost","DreamHost is a Los Angeles-based web hosting provider and domain name registrar."
"fragment-shader","A GPU program used in rendering. It is executed for each sample taken from a rasterized primitive. The output of this process is a number of values and a floating-point depth."
"cufon","Cufon is a JavaScript font replacement technique which is an alternative to WebFonts and sIFR"
"django-tastypie","Tastypie is a webservice API framework for Django. It provides a convenient, yet powerful and highly customizable abstraction for creating REST-style interfaces."
"b-tree","B-trees are a type of self balancing search tree where each node can hold multiple keys and all leaf nodes are the same distance from the root."
"rank",""
"cx-freeze","cx_Freeze is a set of scripts and modules for freezing Python scripts (.py) into executable files (.exe) for either Windows or Linux."
"slidingdrawer","SlidingDrawer is an Android View Widget that hides content out of the screen and allows the user to drag a handle to bring the content on screen."
"watch","Watch refers to observing the status of variables, files or directories for some or all possible actions such as additions, deletions or modifications.   "
"servicebus","Windows Service Bus is both an on-premises and Windows Azure hosted service. Service Bus provides brokered, durable messaging facilities with pub/sub as well as relay services connecting on-premises systems to the cloud."
"berkeley-db","Berkeley DB is part of the Oracle Berkeley DB family of products. It is a C library that links into your application, enabling SQL, key-value pair (NoSQL) and Java object data persistence. It provides C, C++, C# and Java APIs and support for many scripting languages. It's designed to be small, highly performant, reliable, available and scalable.
"
"ghci","GHCi is the interactive environment (REPL) for the Glasgow Haskell Compiler."
"use-case","A use case diagram is a type of behavioral diagram defined by and created from a Use-case analysis. Its purpose is to present a graphical overview of the functionality provided by a system in terms of actors, their goals (represented as use cases), and any dependencies between those use cases."
"assertions","Assertion is a method of verifying, if the code works as it was designed to. For instance, after reading an XML file, the result should contain exactly one root node. Failed assertion means, that program is in an unstable state and usually in such case its execution is terminated."
"conditional-formatting","Conditional formatting is a technique used by Microsoft Excel. Cells can be configured to show different formatting, such as colours or symbols according to the value in the cell. For example, negative values could have a red fill colour for the cell."
"double-quotes","Questions related to the use of double-quotes in different programming languages."
"restful-architecture","RESTful, or representational state transfer, is a style of software architecture for distributed hypermedia systems such as the World Wide Web."
"hornetq","HornetQ is an open source asynchronous messaging project from JBoss.
"
"url-scheme",""
"pop",""
"openssh","OpenSSH is a FREE version of the SSH connectivity tools that technical users of the Internet rely on"
"hyper-v","Hyper-V is the Microsoft Windows hypervisor starting in Windows Server 2008 R2 and also running on Hyper-V Server 2008, Hyper-V Server 2012, Windows Server 2012, and as an optional component of Windows 8. "
"polyline","Polyline in computer graphics is a continuous line composed of one or more line segments."
"flow","""Here's the trouble. We all know that knowledge workers work best by getting into ""flow"", also known as being ""in the zone"", where they are fully concentrated on their work and fully tuned out of their environment."" - [_The Joel Test: 12 Steps to Better Code_][2] by Joel Spolsky"
"silverlight-2.0",""
"monkeyrunner","Monkeyrunner is tool from Android SDK which provides an API for writing programs that control an Android device or emulator from outside of Android code."
"xjc","XJC is a JAXB tool for compiling XSD (XML Schema) to Java source code."
"django-nonrel","Django-nonrel is an independent branch of Django that adds NoSQL database support to the ORM. The long-term goal is to add NoSQL support to the official Django release."
"hibernate-annotations","Hibernate Annotations provide an alternative method of supplying metadata which maps Java objects to the database tables they represent. "
"oracleforms","Oracle Forms is a software product for creating screens that interact with an Oracle database."
"hebrew","The Hebrew language is written right to left (RTL), much like Arabic and Farsi, requiring special handling when mixing Roman numerals and Latin characters in order to maintain correct flow."
"image-scaling","The use of interpolation to spatially stretch or squeeze an image by manipulating the underlying image data -- directly, or through API or ABI calls."
"dhcp","Auto configuration protocol used on IP networks"
"avi","This tag is for questions about playback of, creation of, and programmatic interaction with, Audio Video Interleave (*.avi) files. The AVI format was introduced by Microsoft in 1992 and has been widely adopted and modified since, but remains mostly supported on Microsoft devices "
"morphia","Morphia is a lightweight type-safe library for mapping Java objects to/from MongoDB."
"python-multithreading","python-multithreading refers to how to divide work into multiple streams of execution in Python. Usually refers to `threading` module."
"backtracking","Backtracking is a general algorithm for finding solutions to some computational problem, that incrementally builds candidates to the solutions."
"dbunit","DbUnit is a JUnit extension targeted at database-driven projects that, among other things, puts your database into a known state between test runs."
"foundation","Foundation is a framework written in Objective-C that implements many useful classes and functions."
"conditional-compilation","Compilation of certain parts of source code will be included/excluded. This can be often reached by pre processing the source code in some way. Including/Excluding parts of the source may be controlled by pre processor keywords."
"joomla1.7","For issues relating to using Joomla!, version 1.7.
Please note that 1.7 is no longer supported on the official Joomla website, therefore you should migrate to the latest version"
"history.js","A JavaScript library implementing the HTML5 History APIs for backwards compatibility with legacy browsers."
"google-sites","Google Sites is an online open source platform for building static websites."
"roleprovider","Built-in and custom implementations of ASP.NET's Role Provider, as part of Membership functionality in the System.Web.Security namespace."
"minitest","a testing framework that comes in the standard library of Ruby 1.9."
"geo","geo is the abbreviation for the term ""geographic"". It includes handling of geographic coordinates and vectors for display and calculation purpose. "
"epoch","Unix time, or POSIX time, is a system for describing points in time, defined as the number of seconds elapsed since midnight Coordinated Universal Time (UTC) of January 1, 1970, not counting leap seconds."
"sysadmin","a person responsible for maintaining the running health of a system (usually an electronic computer)."
"ubuntu-11.04","Ubuntu release that was released on 28 April 2011."
"ios5.1","The version of iOS (formerly iPhone OS) that was released by Apple on 7 Mar 2012. iOS 5.1 runs on iPhone 3GS (and newer), iPad 1 (and newer), iPod Touch 3rd generation (and newer)."
"standard-library","The standard library contains core utilities provided by all implementations of the language."
"bounds","In user interfaces and graphics, *bounds* refers to the size and location of a window or view."
"eclipse-plugin-dev","Questions related to developing plugins for Eclipse, the software development environment."
"team-build","Team Foundation Build is a server-side component of the Microsoft Visual Studio Application Lifecycle Management suite, used for automated project builds."
"mediarecorder","Mediarecorder is the Android class used for recording Audio and Video available since API Level 1."
"rfid","RFID stands for Radio Frequency IDentification. By way of tags and a reader. Information can be read from the tag wirelessly based on commands sent from the reader. Commonly only the ID of a tag is used, but tags can contain limited data. See wiki for more details."
"settext","The concept of assigning text to a UI element"
"uiwindow","The UIWindow class defines objects (known as windows ) that manage and coordinate the windows an application displays on the screen. "
"complex-numbers","complex numbers (x + y*i where i^2 = -1), types to represent them in programming languages, and libraries to manipulate them"
"blueimp","blueimp.net serves as a selection of open source projects by web developer Sebastian Tschan."
"office-2007","For issues relating to Microsoft Office, version 2007."
"private-members","In object oriented programming, private members are those data fields, properties, or methods of a class that are only accessible from within the class itself. "
"android-contentresolver","A ContentResolver represents the connection between an app requesting data and the target ContentProvider."
"radio-group","radio-group is used to create a multiple-exclusion scope for a set of radio buttons. Checking one radio button that belongs to a radio group unchecks any previously checked radio button within the same group."
"pager",""
"eclipse-emf","The Eclipse Modeling Framework Project (EMF)"
"gpu-programming","See the tag entry for [tag:gpu]."
"tcp-ip","TCP/IP is an acronym Transmission Control Protocol/Internet Protocol. It is a protocol stack that is responsible for endpoint-to-endpoint communications between two or more devices. Please use this tag if your question is specific to TCP/IP."
"curses","Curses is a library for unix-ish computers that you can use to have better and more interactive consoles, including colors. It is used in some console games, like the original Rogue."
"sigsegv","On POSIX-compliant platforms, SIGSEGV is the signal sent to a process when it makes an invalid memory reference, or segmentation fault. "
"agent","Questions about programming software agents or programming in an agent-oriented environment."
"chess","This tag is for the game of Chess and problems getting computers to play it."
"objective-c-runtime","The Objective-C runtime is a runtime support library provided with an implementation of the Objective-C language. Its API allows dynamically creating and configuring classes at runtime, as well as introspecting existing classes, methods, properties, and method implementations."
"dynamics-ax-2012","Microsoft Dynamics AX is one of Microsoft’s Enterprise Resource Planning software products. It is part of the Microsoft Dynamics family.

The early versions (from 1.0 to 3.0) were called Axapta, while the later versions (from 3.0 SP6 to AX 2012) are called Dynamics AX."
"google-cloud-sql","Google Cloud SQL is a service that allows you to create, configure, and use relational databases that live in Google's cloud. It is a fully-managed service that maintains, manages, and administers your databases, allowing you to focus on your applications and services."
"cname","A CNAME record or Canonical Name record is a type of resource record in the Domain Name System (DNS) that specifies that the domain name is an alias of another, canonical domain name."
"cocos2d-android","Cocos2D for Android is a Java based open source framework for building 2D games and graphical applications. Cocos2D-Android and Cocos2D-Android-1 are the two active projects. "
"glkit","GLKit is a UIKit framework which helps in the development of OpenGL ES applications on iOS. "
"codemirror","CodeMirror is an in-browser code editor, written in JavaScript. Among its notable features are syntax-highlighting, code-completion, auto-formatting and key-binding. The code-assist and highlighting capabilities are written as plugins called 'modes', and the editor supports many languages out of the box, but can be extended to add support for any desired language.
"
"phone-number","A telephone number or phone number is a sequence of digits used to call from one telephone line to another in a public switched telephone network. When telephone numbers were invented, they were short — as few as one, two or three digits — and were given orally to a switchboard operator. As phone systems have grown and interconnected to encompass the world, telephone numbers have become longer. "
"cgrect","CGRect is a structure from the ApplicationServices framework used with Apple's OSX and iOS operating systems. This structure is used to represent the origin and size of a rectangle."
"orchardcms-1.6","Orchard is a free, open source, community-focused project aimed at delivering applications and reusable components on the ASP.NET MVC platform. Version 1.6 was released in Oct 2012. This tag is intended for questions that specifically regard Version 1.6."
"figure","A container for images, plots or other graphical elements with some optional meta-information."
"memoization","In computing, memoization is an optimization technique used primarily to speed up computer programs by having function calls avoid repeating the calculation of results for previously-processed inputs."
"gdal","GDAL (Geospatial Data Abstraction Library) is a library for reading and writing raster geospatial data formats."
"virtual-directory",""
"url-parameters","URL Parameters are parameters whose values are set dynamically in a page’s URL, and can be accessed by its template and its data sources. This makes pages incredibly dynamic, enabling a single page to power an endless number of views."
"xargs","xargs is a command on Unix and most Unix-like operating systems used to build and execute command lines from standard input."
"dom-manipulation","The process of changing the Document Object Model (DOM). It includes adding, removing or changing DOM elements."
"spock","Spock is a testing and specification framework for Java and Groovy applications."
"picker","Synonym of selector or chooser."
"syscall","A system call is how a program requests a service from an operating system's kernel"
"levenshtein-distance","A metric for measuring the amount of difference between two sequences."
"projects",""
"antivirus","Antivirus or anti-virus software is software used to prevent, detect and remove malware."
"mouseenter","For issues relating to setting up, subscribing to, or handling mouseenter events."
"sendgrid","Cloud-based email infrastructure and delivery engine, with integration via SMTP and HTTP API. Also offers analytics and newsletter functionality. 

Official website: http://sendgrid.com/
"
"wininet","The Windows Internet (WinINet) API enables Windows applications to interact with FTP, and HTTP protocols to access Internet resources."
"autorotate",""
"portforwarding","Port forwarding or port mapping is a name given to the combined technique of
translating the address and/or port number of a packet to a new destination,
possibly accepting such packet(s) in a packet filter (firewall),
or forwarding the packet according to the routing table."
"weather","For questions about scientific computing involving weather analysis and/or simulations. Any weather questions on this site should be programming-related."
"smooth-scrolling","Smooth Scrolling is a technique which reduces the sudden jumps in display while scrolling. The content will appear to seamlessly flow in and out of the screen as you scroll. Many browsers ship with it, but it can also be implemented by websites. "
"http-status-code-401","Similar to 403 Forbidden, but specifically for use when authentication is possible but has failed or not yet been provided. The response must include a WWW-Authenticate header field containing a challenge applicable to the requested resource. "
"custom-view",""
"castle","Castle is an open source project for .net that aspires to simplify the development of enterprise and web applications."
"gsoap","gSOAP is an open source C and C++ software development toolkit for SOAP/XML Web services and generic (non-SOAP) C/C++ XML data bindings."
"sequel","Sequel is a database toolkit for the Ruby programming language that provides abstractions over many SQL RDBMS."
"lowercase","Lowercase characters are letters in minuscule: a, b, c, …"
"mdm","Mobile Device Management"
"google-plus-one","Google +1 Button for Google social web users, publishers and e-commerce"
"rhomobile","With the RhoMobile Suite you can use your web skills to build cross-platform native mobile applications. Main focus are enterprise apps, targeting iOS, Android and even Windows Mobile.
"
"software-distribution","Software distribution is the process of delivering software to the end user."
"vala","Vala is a programming language that allows modern programming techniques to be used to write applications that run on the GNOME runtime libraries, particularly GLib and GObject. It has syntax based around C# and is compiled to C which is then compiled to a native binary using the platform's C compiler."
"textwrapping","Text wrapping is a method for fitting text into an area by moving any text that overflows its boundaries onto a new line."
"disassembling","Disassembling is the process of analysing an executable or object code binary and outputting an assembly language source code text representation which can be read and understood by a programmer."
"ipv4","IPv4 is the ""old style"" IP protocol currently used in most circumstances."
"mvccontrib","This project was designed to add functionality and ease-of-use to Microsoft's ASP.NET MVC Framework, MVC Contrib is useful for developers looking to develop and test UI elements on top of the ASP.NET MVC framework."
"algebra","Algebra is the branch of mathematics concerning the study of the rules of operations and relations, and the constructions and concepts arising from them, including terms, polynomials, equations and algebraic structures."
"exit-code","An exit code is signaled by a program on termination to indicate if it completed successfully, or, if it did not, what sort of failure condition occurred."
"windows-store","The Windows Store is a digital distribution platform for Metro style applications built on the Windows Runtime (WinRT). It was first introduced as part of the Windows 8 Customer Preview."
"factorial","In mathematics, the factorial of a non-negative integer n, denoted by n!, is the product of all positive integers less than or equal to n."
"assetic","Assetic is an asset management framework for PHP."
"eclipse-wtp","The Eclipse Web Tools Platform (WTP) project extends the Eclipse platform with tools for developing Web and Java EE applications. It includes source and graphical editors for a variety of languages, wizards and built-in applications to simplify development, and tools and APIs to support deploying, running, and testing apps."
"xilinx","Xilinx is a major brand of Field Programmable Gate Arrays (FPGA)."
"django-class-based-views","django-class-based-views are Django views that are represented as classes. These allow you to structure your views and reuse code by harnessing inheritance and mixins."
"action-filter","In ASP.NET MVC, controllers define action methods that usually have a one-to-one relationship with possible user interactions, such as clicking a link or submitting a form. For example, when the user clicks a link, a request is routed to the designated controller, and the corresponding action method is called."
"wordnet","WordNet is a lexical database for the English language. It groups English words into sets of synonyms called synsets, provides short, general definitions, and records the various semantic relations between these synonym sets."
"decisiontrees","A decision tree is a decision support tool that uses a tree-like graph or model of decisions and their possible consequences, including chance event outcomes, resource costs, and utility. It is one way to display an algorithm."
"mongodb-php","MongoDB is a document oriented NoSQL database. MongoDB supports journaling, datacentre-aware replication and auto-sharding to guarantee high availability. The database manages collections of BSON (a superset of JSON) documents. The major distinction between NoSQL and SQl is that NoSQL allows you to have fields which are multi-valued. The multiple values are represented as a JSON array. "
"clipping","Any procedure which identifies that portion of a picture which is either inside or outside a region is referred to as a clipping algorithm or clipping. The region against which an object is to be clipped is called clipping window."
"referrer","is a HTTP header field that identifies the address of the webpage (i.e. the URI or IRI) that linked to the resource being requested."
"implode","implode() is a PHP function that joins together an array (optionally based on a 'glue' (inverse delimiter)) and returning a string."
"libc","The C standard library consists of a set of sections of the ISO C standard which describe a collection of headers and library routines used to implement common operations, such as input/output and string handling, in the C programming language."
"faceted-search","Faceted search (also called faceted navigation, guided navigation, or parametric search) breaks up search results into multiple categories, typically showing counts for each, and allows the user to ""drill down"" or further restrict their search results based on those facets."
"xbap","XBAP (XAML Browser Application) are Windows Presentation Foundation (WPF) applications that run in a sandboxed environment in a users browser"
"renderer","A renderer is a software construct that accepts and transforms information so that it can be displayed in a given medium."
"borland","Borland Software Corporation is a software company first headquartered in Scotts Valley, California, Cupertino, California and finally Austin, Texas. It is now a Micro Focus subsidiary. "
"stress-testing","Stress testing is a form of testing that is used to determine the stability of a given system or entity. It involves testing beyond normal operational capacity, often to a breaking point, in order to observe the results."
"safari-extension","Safari Extensions are a way to develop and distribute additional functionality for Apple's Safari web browser."
"appendchild","adds a node to the end of the list of children of a specified parent node. If the node already exists it is removed from current parent node, then added to new parent node."
"lgpl","The GNU Lesser General Public License is a weak copyleft free software license and is the second most popular open source license. It is generally designed for and used by software libraries. This tag is for questions related to the GNU General Public License that are not requests for legal advice."
"erd","Entity Relationship Diagram (ERD) or Entity Relationship Nodel is a visual representation of the organization of data within databases or information systems"
"artifactory","Artifactory is a binary repository manager for use by Maven, Gradle, Ivy, etc.
Repository managers serve two purposes: they act as highly configurable proxies between your organization and external repositories and they also provide an organization with a deployment destination for your internally generated artifacts."
"nssortdescriptor","an OS X API class , describing a basis for ordering objects by specifying the property to use to compare the objects, the method to use to compare the properties, and whether the comparison should be ascending or descending"
"cordova-2.0.0","Apache Cordova is a platform for building native mobile applications using HTML, CSS and JavaScript."
"wso2carbon","The WSO2 Carbon is a platform for development of component-based middleware for enterprise IT. It is based on Java OSGi technology."
"func","Func is a family of delegate types in the .Net framework."
"client-side-validation","If the user is working with a browser that supports dynamic HTML (DHTML), Validation can perform validation using client script. It can provide immediate feedback without a round trip to the server"
"win32com","win32com is a Python module to interact with windows COM components."
"dynamics-crm-online","Microsoft Dynamics CRM is a multi-lingual Customer Relationship Management software package developed by Microsoft. It has built in support for Sales, Marketing and Service. This tag is reserved for Dynamics CRM Online."
"jcr","JCR is an acronym for Java Content Repository: an API and object database of hierarchical data mainly used by content management systems.  Apache Jackrabbit is an open source implementation; there are several commercial products."
"flickr-api","Flickr is a photo/video sharing website. Photos are tagged with valuable metadata such as tags, geolocation, and Exif data.The Flickr API is how you can access that data. In fact, almost all the functionality that runs flickr.com is available through the API. "
"codeigniter-url",""
"sony","Sony offers a number of branded products covering audio (Walkman™), computing (VAIO®), TV/Video (BRAVIA®), gaming (PlayStation®), and mobile (Xperia™)."
"task-queue",""
"cfc","ColdFusion Components (CFCs) are objects in the [tag:coldfusion] environment. They are a collection of functions and properties. "
"blackberry-cascades","BlackBerry Cascades framework contains tools and APIs that you can use to build rich applications using Cascades libraries and Qt libraries."
"migrate",""
"failover","The automatic switching to a redundant or standby computer server, system, hardware component or network upon the failure or abnormal termination of the previously active application, server, system, hardware component, or network."
"fingerprint","Biometric modality that matches images of finger tips."
"revision","Revision: A release of a piece of software which is not
a major release or a bugfix, but only introduces small
changes or new features."
"xcopy","xcopy is a Windows command to copy all files, directories, and subdirectories from a specified path to a target directory"
"ankhsvn","AnkhSVN is a Subversion Source Control Provider for Microsoft Visual Studio"
"priority",""
"indy10","Indy 10 is a reference to a specific version of Indy."
"fuelphp","Fuel is a simple, flexible, community driven PHP 5.3 web framework based on the best ideas of other frameworks with a fresh start.
"
"backslash","The backslash character \ (not to be confused with slash /) is used in many languages to quote the next character, i.e. to make it lose its special meaning. It is also the directory separator in file paths under DOS and Windows."
"hittest","Hit-testing (hit detection, picking, or pick correlation) is the process of determining whether a given object intersects another given object shape, line, or curve drawn on the screen."
"nsnotifications","NSNotification objects encapsulate information so that it can be broadcast to other objects by an NSNotificationCenter object."
"recovery",""
"requiredfieldvalidator","Makes the associated input control a required field."
"jdom","JDOM is an open source library for working with a Java representation of an XML document. JDOM provides a way to represent that document for easy and efficient reading, manipulation, and writing. It has a straightforward API, is a lightweight and fast, and is optimized for the Java programmer."
